,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
123,0.021367641,0.02337615,0.41236418,1.4193314,0.37631944,0.5312102,1.2130743,0.21210591,0.77227944,0.1824129,0.66135573,1.5423726
124,0.015639337,0.0060794307,1.8475512,0.020877317,0.6990622,0.46477145,0.60969657,0.8945932,0.01632537,1.3278403,0.5969699,0.0028180669
125,0.015407894,0.007541983,0.16486305,0.71331793,2.075581,0.11334418,0.013261969,0.08083723,0.7558777,2.2382703,0.21002856,0.28016484
126,0.020757888,0.030882692,1.4522493,2.6775804,0.8982557,0.76215017,0.99452245,0.009054163,1.0160233,0.48967803,0.75395405,1.2795012
127,0.018609574,0.018309409,0.2851652,1.2440017,0.036067016,0.4157579,1.4527245,0.6831219,0.3471759,2.3807507,0.89702815,0.43929395
128,0.019962652,0.0035042672,1.1150265,0.072605826,0.032895073,2.3809757,1.834197,1.0778311,0.37922323,2.036218,0.22570702,0.0033134061
129,0.022623463,0.0016333589,2.1279948,0.6623452,1.0157852,0.5709802,0.008851145,0.94580024,0.41117594,1.9879243,0.99763155,0.0007621352
130,0.01383297,0.0029050948,0.9725252,0.16703366,0.6828802,1.2516853,2.2017908,0.011560211,1.0310931,0.05467856,1.6273156,0.0017971925
131,0.025110822,0.0129452525,1.5227904,0.8301564,1.11128,0.44058093,0.52837956,0.18650612,0.04573448,0.74870515,0.9696358,0.5760397
132,0.0070058974,0.00261657,0.3195969,0.037700977,0.018361084,2.702797,2.9414995,0.450562,0.038056716,2.0208254,0.35058692,0.0016300598
133,0.031004798,0.003827038,2.3404047,1.0295243,0.41632876,0.57624817,0.6235844,0.74679935,0.02883264,1.474481,0.97713745,0.0029124985
134,0.040848427,0.025644634,0.35084385,0.6491367,0.2347707,0.839023,3.0677578,0.22827353,0.474105,0.34011984,0.16701959,0.9999755
135,0.32520914,0.009490744,0.05016965,0.06638389,0.015942222,1.0617046,0.011375648,1.2904717,0.78370804,0.06908836,1.9620467,0.7630209
136,0.2142658,0.009033412,2.630106,0.22024025,0.8517412,0.9973935,1.5652739,0.079875074,0.24209613,0.27336162,1.4034071,0.012578904
137,0.032198254,0.034420505,4.11455,0.7344575,0.27390376,0.1398002,0.51288813,0.91682595,0.33579773,1.5747625,0.0684222,0.6967653
138,0.008274315,0.22957388,0.91958463,0.93741614,0.74382895,0.14606065,0.078355476,0.013749497,0.8013035,1.066019,1.6048084,0.022183286
139,0.07850425,0.14655885,0.3681533,2.236952,0.16830766,1.1216999,0.3536041,0.9543982,0.1478724,2.1894903,0.060433663,0.06611588
140,0.020262733,0.32189158,0.54402465,0.40374157,0.013458492,0.9138262,2.8548827,0.008016583,1.6424701,0.77337974,0.13075845,2.0149672
141,0.029037174,0.00371764,0.3526092,3.3339787,0.40634832,0.8883295,0.36431992,0.03318763,0.9886174,1.6607146,0.6489712,0.0027922848
142,0.017356783,0.012371141,0.13705787,2.061661,0.038606253,1.9489225,0.89511585,0.98075557,0.1859049,0.08055478,0.12614557,0.4411321
143,0.024455842,0.60118043,0.09727097,0.089239515,0.7631894,0.37962064,0.3987715,2.7357538,0.020497732,0.038859434,0.9160418,0.6885785
144,0.05158315,0.014890677,0.72716326,4.3948417,0.09837058,0.36667934,0.1604827,0.39831445,0.034091976,0.054617755,0.53082746,0.286011
145,0.016200438,0.020289145,0.8320946,1.062895,0.040205553,2.5499642,0.20114906,2.7980776,0.35772082,1.0438622,0.16953744,0.4766645
146,0.037699442,0.16396853,0.72601974,0.098245256,0.083,0.68008465,1.0593342,0.5112869,1.4063826,0.11207375,1.5432311,0.77160984
147,0.007193249,0.013994718,0.32942608,0.011284239,0.6156098,2.7147944,1.6678698,0.63381344,0.021262897,0.078847975,0.24682549,1.3680246
148,0.030496284,0.014903685,0.5232272,0.73374087,1.9134086,0.25788078,0.50944513,0.5318277,1.69481,0.101449095,0.07054245,0.6032427
149,0.009360222,0.0010818562,0.077635095,0.1193594,0.30182937,1.910176,0.007560522,2.0059056,1.5401056,2.6416295,0.036049675,0.0006648646
150,0.014827343,1.0926818,0.94738996,0.049065858,0.4764247,3.5899038,0.011388324,2.1392305,0.022659326,1.1182351,0.058177005,1.593667
151,0.03536305,0.033711996,0.6223266,0.30215457,0.18726638,0.84911567,0.01676408,1.0494624,0.17653182,1.1058472,0.2406339,2.0140073
152,0.012504501,0.018206785,0.09307172,1.2938243,0.035012588,0.8678637,0.16767669,1.4955134,0.026821988,0.3447486,1.0730919,0.35545427
153,0.06710507,0.09050323,0.8964395,1.5660676,1.0050772,0.13414314,0.1128965,0.17385511,2.224945,0.1306911,0.06856897,0.30765218
154,0.1695394,0.01147211,0.6137819,1.295076,1.3621073,0.5397961,0.4470288,0.121881284,0.029877866,0.83413124,0.047042526,0.12807898
155,0.116682634,0.015800342,0.19180213,0.8930669,0.024264993,0.22085452,0.016012246,0.76149416,0.60625124,1.5055307,1.9306705,1.0040342
156,0.011556252,0.040325463,2.84898,0.017368406,0.46943122,0.26299742,0.4675929,0.016894951,0.225813,0.8288664,0.3585451,1.8807535
157,0.010511547,0.0083297035,0.09486873,0.08251245,0.47119796,0.64174026,0.61840963,0.06470335,3.1263182,0.02674128,0.06458557,0.61595774
158,0.01812077,0.01340874,0.3292613,0.078073986,1.0346625,0.7125416,0.36684778,0.015508701,0.12345679,0.10992083,1.335522,1.1942766
159,0.015905844,0.026199182,0.19757643,0.9844812,0.040600218,1.5148606,0.5779416,0.362469,0.03333388,0.062173832,0.10325723,2.3543005
160,0.0586968,0.26008475,1.8073797,2.9087012,0.46909475,0.45739943,0.16061877,0.12947367,1.1756221,0.2242862,0.4159367,0.032331917
161,0.008313713,0.0176938,0.18483473,0.016791739,2.2322555,1.4464387,0.4765547,0.5373455,0.46575534,1.2676104,0.06902917,0.78080934
162,0.0053391326,0.004528647,0.979188,0.26557583,0.01851974,2.7589002,0.90912396,0.031928685,0.10953163,0.08047545,0.10559028,0.0064393333
163,0.07283014,0.019632181,1.5587025,1.0641084,1.2596208,0.1007446,1.0533466,0.17224777,0.42553678,0.083916605,1.8676037,1.0681896
164,0.14462796,0.01935421,3.4709787,0.883086,0.09795135,0.45378402,1.3182887,0.23250054,0.50355756,1.4483365,0.09629376,0.048711233
165,0.02966172,0.0036364675,0.71658504,1.5798191,1.2346891,0.08358356,0.32166147,0.7799777,0.01739553,1.7211789,0.6522133,0.0017617273
166,0.02388921,0.023330826,0.10687536,0.5075266,0.056804836,1.1084958,0.2499109,0.17712232,0.97795373,0.22701564,0.07533795,1.4931418
167,0.020049084,0.02806574,0.31681943,0.24713284,0.56299365,1.287147,1.9613655,0.026550272,1.5641325,0.19129516,0.19742763,1.0816729
168,0.030080946,0.0041450663,0.7744949,0.028107144,2.8576102,1.6916555,1.3088802,0.70503974,0.06544334,0.18666779,1.1491015,0.0063349465
169,0.07039384,0.0024695783,0.5395047,0.5725321,2.3671896,1.0966804,0.01194006,1.1868782,0.030317383,1.7032995,0.096045725,0.0024055534
