,Atrial Cardiomyocyte,Ventricular Cardiomyocyte,Fibroblast,Endothelial cell,Lymphatic Endothelial cell,Mural cell,Mesothelial cell,Neural cell,Adipocyte,Myeloid,Lymphoid,Mast cell
49,0.015251255,0.24485122,0.018033857,0.052242514,0.02880725,2.4675531e-08,0.41650409,0.07602404,0.0008850217,0.0021776746,0.10688378,0.038339313
50,0.0074852626,0.21014786,0.013219085,0.005622367,0.057352934,5.2795796e-10,0.4324963,0.061334696,0.0031294688,0.15770411,0.026387777,0.025120081
51,0.007663358,0.15426858,0.03894869,0.030715473,0.12363947,3.533943e-09,4.882082e-05,0.4675339,0.008514692,0.15340519,0.013918924,0.0013428525
52,0.03504942,0.56915516,0.10185688,0.08116242,0.046060886,7.884959e-09,0.0023216258,0.08680893,0.010959571,0.0029384752,0.059304647,0.004381987
53,0.0007671473,0.008914796,0.10168943,0.016837835,0.11943055,1.0071205e-09,0.45461458,0.18443342,0.014957309,0.05168126,0.020464526,0.026209164
54,0.005927147,0.10811097,0.06799363,0.017250463,0.015557074,3.904649e-09,0.44370377,0.16290563,0.017086485,0.13186894,0.018020734,0.011575106
55,0.0026884796,0.016979853,0.13313961,0.09342863,0.03672394,4.118806e-09,0.43950322,0.07661691,0.03443989,0.14262366,0.02288402,0.00097173464
56,0.0701375,0.45503944,0.07843466,0.010090496,0.013885245,6.969226e-08,0.078323066,0.10535418,0.009064443,0.09701115,0.028271114,0.054388616
57,0.00175757,0.027015153,0.054724496,0.015338874,0.05672248,9.198181e-09,0.22829507,0.42068836,0.007743188,0.14092347,0.016757367,0.030033955
58,0.016202472,0.2773463,0.037721965,0.067193344,0.11422925,1.9561282e-08,0.13862497,0.07375304,0.0021336104,0.17524557,0.08465864,0.01289085
59,0.027083272,0.21427329,0.008809141,0.04933738,0.008251322,2.951245e-08,0.5727633,0.03993287,0.0022841033,0.041968074,0.025679164,0.009618106
60,0.008493313,0.22097397,0.03373517,0.19773199,0.21332815,1.2490919e-07,0.0008670696,0.12067605,0.00077379536,0.1020753,0.030625364,0.07071977
61,0.33832288,0.09744367,0.017481336,0.01915441,0.0098610995,1.2727675e-08,0.34592903,0.07179745,0.011647042,0.054583367,0.024390046,0.009389613
62,0.002027675,0.004896746,0.026576294,0.16987395,0.32172,1.236688e-09,0.27023205,0.03833265,0.0024338965,0.12744875,0.033208806,0.0032491607
63,0.0012416291,0.010689596,0.19570048,0.03930442,0.08510889,3.546521e-09,0.28803158,0.11593689,0.0384441,0.0049886247,0.17088799,0.049665764
64,0.004075623,0.1001327,0.009794428,0.026527084,0.034895726,7.2397244e-09,0.63230884,0.03847205,0.001015191,0.08271226,0.047831614,0.02223446
65,0.015383054,0.30655935,0.006522554,0.07240467,0.23289296,3.747248e-08,0.0006298604,0.037837867,0.000273267,0.199243,0.060055226,0.06819822
66,0.0138512375,0.24167852,0.05429343,0.07706861,0.08995034,1.1148148e-08,0.3273225,0.14648746,0.0020910553,0.0028602013,0.03262645,0.011770192
67,0.015444733,0.14795902,0.031580575,0.044718046,0.2237926,8.887999e-10,0.31485295,0.08507224,0.0014695477,0.10269367,0.02412405,0.008292619
68,0.014018229,0.085223876,0.18083328,0.028844763,0.05712353,1.3625274e-08,0.00033314739,0.15596363,0.058248643,0.3031965,0.06432485,0.051889524
69,0.01179921,0.13060021,0.09381572,0.16188014,0.032268554,7.658736e-08,0.0004355891,0.17241591,0.031926792,0.2972581,0.03140635,0.036193408
70,0.0029284921,0.024052823,0.056009308,0.09240849,0.048519295,2.2566526e-08,0.5298734,0.13902982,0.0055195345,0.065512136,0.024502417,0.011644371
71,0.0058165845,0.1974853,0.03240818,0.033895507,0.046264265,1.0077121e-08,0.38509873,0.22800803,0.0015864094,0.0037159312,0.040975906,0.024745116
72,0.026368389,0.40301412,0.06670706,0.13051598,0.11180167,6.8709696e-08,0.00054515415,0.11602991,0.0014938255,0.068854645,0.028296163,0.046373006
