,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
151,0.13754193,0.11809478,0.088182114,0.10354339,0.100006305,0.073064096,0.10349972,0.09340327,0.11062658,0.072037786
152,0.13765419,0.11798723,0.08841767,0.10332181,0.100315146,0.07286264,0.10354208,0.093034364,0.11081424,0.07205057
153,0.13749877,0.11807936,0.088216186,0.10342324,0.10018878,0.07305173,0.10377922,0.09310022,0.11066311,0.07199932
154,0.13766092,0.11802992,0.088293605,0.10352051,0.100040756,0.07300421,0.103383064,0.093267195,0.1106902,0.07210967
155,0.13751374,0.118260615,0.088084586,0.103415266,0.100095294,0.073099926,0.1038854,0.09323614,0.11058884,0.07182014
156,0.13761961,0.11810655,0.08827206,0.10334178,0.10021081,0.07299926,0.10363717,0.09303428,0.1108067,0.07197184
157,0.13755171,0.118029036,0.08818978,0.103455,0.10030774,0.07307558,0.10353851,0.09304809,0.11071395,0.072090596
158,0.13762029,0.118131585,0.088230394,0.10339781,0.10023078,0.07302193,0.10359758,0.09312057,0.110744104,0.071904965
159,0.1376311,0.11803775,0.08826801,0.103397615,0.10022255,0.07302096,0.103658594,0.09302795,0.1107187,0.072016835
160,0.13739339,0.11803198,0.08824979,0.10334891,0.10041654,0.07292773,0.1039598,0.093060024,0.1107636,0.07184831
161,0.1377829,0.11794267,0.08824418,0.103700764,0.09966585,0.072935365,0.10314024,0.09356295,0.1107836,0.07224146
162,0.1375575,0.11786273,0.08846239,0.10339095,0.10047146,0.07273945,0.103418216,0.09302858,0.1109855,0.07208319
163,0.13770862,0.11810954,0.0883661,0.103261076,0.10028414,0.072914764,0.10358665,0.09298704,0.110829316,0.07195277
164,0.13770662,0.11802401,0.08837925,0.103386536,0.1001927,0.07291994,0.10346397,0.09308867,0.110816605,0.07202172
165,0.13775378,0.11802609,0.08845886,0.10328419,0.10027514,0.072869755,0.103488095,0.09295678,0.11086874,0.07201857
166,0.13763762,0.11804054,0.088406846,0.103260234,0.100619085,0.07281091,0.10346547,0.09292716,0.11075919,0.072073035
167,0.13774659,0.11792831,0.08855393,0.10327442,0.099983916,0.07279151,0.10344846,0.09309078,0.11113271,0.072049476
168,0.13770142,0.118053295,0.08840454,0.10332873,0.10023426,0.07291455,0.10347573,0.09303522,0.110842645,0.07200961
169,0.13776268,0.1182747,0.08819702,0.103209436,0.10025863,0.07305523,0.103826135,0.0927837,0.11070505,0.07192747
170,0.13769327,0.11805169,0.088431165,0.103283554,0.10028676,0.07286778,0.10351451,0.092979476,0.11088487,0.07200692
171,0.13747549,0.1180971,0.08810111,0.10359351,0.10000739,0.07306932,0.10352056,0.09349706,0.11061159,0.07202686
172,0.13738024,0.11810906,0.08831655,0.103555955,0.1001363,0.07300715,0.10365417,0.093275875,0.11072278,0.07184189
173,0.13773355,0.11815489,0.08819904,0.10326808,0.10023432,0.07300061,0.10366206,0.093093395,0.110742554,0.071911536
174,0.13768178,0.11807697,0.08834416,0.10325787,0.100292966,0.07293401,0.10361249,0.09294589,0.11084864,0.07200524
175,0.13764156,0.11813046,0.08816245,0.103453614,0.1001835,0.0730211,0.103600346,0.09321176,0.11063422,0.07196094
176,0.13755795,0.11810654,0.088230856,0.1034779,0.10017741,0.07304331,0.103587,0.09318959,0.11063739,0.07199203
177,0.13747923,0.11803331,0.088253394,0.103595935,0.100034386,0.07300689,0.103501424,0.09335685,0.11067982,0.07205875
178,0.13759737,0.11815477,0.088286944,0.103354506,0.10019431,0.07304187,0.10354404,0.09305706,0.110763945,0.07200512
179,0.13742618,0.11830228,0.08831765,0.103424974,0.10025177,0.0731452,0.10362947,0.09300976,0.11079574,0.071697034
