,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
145,0.113626786,0.10443339,0.10653347,0.09731522,0.10203402,0.120502226,0.08313723,0.09347337,0.092973694,0.08597062
146,0.11367716,0.10449676,0.106535666,0.09723854,0.10191206,0.12063853,0.083087474,0.09358661,0.092991225,0.08583595
147,0.11370019,0.10454609,0.106554344,0.09715001,0.10193351,0.12061029,0.082892485,0.09333618,0.0930511,0.08622573
148,0.11357584,0.104432724,0.10651798,0.097296596,0.10194715,0.12063312,0.08314018,0.093468346,0.09297181,0.08601625
149,0.11361189,0.10439129,0.106479265,0.097505875,0.102223106,0.120575085,0.083178364,0.09366042,0.09275271,0.08562198
150,0.11353483,0.10448717,0.10655291,0.09728812,0.101957165,0.12065184,0.08321929,0.09358394,0.09294324,0.08578138
151,0.11374189,0.10456887,0.1065511,0.09721414,0.10186304,0.12071219,0.08291735,0.09342396,0.092974,0.0860335
152,0.11353636,0.10438212,0.106616795,0.09706257,0.10205152,0.120774105,0.083222486,0.093392685,0.09302132,0.08594008
153,0.11352044,0.10452815,0.10644979,0.09737776,0.10158566,0.120951205,0.08305079,0.09361516,0.09289884,0.0860222
154,0.11362335,0.10446465,0.106570594,0.09715278,0.10200704,0.12057748,0.08307788,0.093397066,0.093073994,0.08605514
155,0.113610104,0.10433124,0.10661354,0.09709947,0.1018122,0.12092621,0.082931414,0.093554616,0.09290219,0.08621912
156,0.113756254,0.104259595,0.10636449,0.09744231,0.1019809,0.120711744,0.08313475,0.09353859,0.092943035,0.08586833
157,0.11374854,0.10428096,0.1064217,0.09741166,0.102022395,0.12055543,0.083201215,0.09350506,0.09300336,0.08584963
158,0.113436244,0.10462621,0.1067102,0.09721082,0.10184989,0.120924436,0.08308341,0.093710385,0.09277971,0.08566865
159,0.11365224,0.104438044,0.10655182,0.09726866,0.102018684,0.12054779,0.08312098,0.09355154,0.092929445,0.08592073
160,0.11384514,0.104426,0.10648814,0.097385764,0.1019249,0.120582335,0.083018176,0.09361397,0.09291371,0.08580187
161,0.11349608,0.10455587,0.106536366,0.09736882,0.10199199,0.12057082,0.08318893,0.093346015,0.09293509,0.08600996
162,0.11355921,0.10443913,0.10650417,0.097317584,0.101961285,0.12064886,0.083168484,0.09352157,0.0929401,0.08593964
163,0.113773346,0.10430061,0.10642182,0.09740294,0.102013685,0.12055427,0.08312505,0.0935106,0.09298777,0.08590991
164,0.11356318,0.10440591,0.10654795,0.097284764,0.10198418,0.12063484,0.08314602,0.09344978,0.09300924,0.08597415
165,0.11383377,0.104304254,0.10662568,0.09725684,0.10209223,0.12027348,0.082958736,0.09345987,0.09312682,0.08606831
166,0.113660365,0.10439786,0.10648235,0.0973421,0.10194809,0.120650716,0.08312846,0.09347296,0.09296128,0.08595581
167,0.11369556,0.10429623,0.10643536,0.09736102,0.10204849,0.1205423,0.08319009,0.093503416,0.0930179,0.085909635
168,0.11362161,0.10440306,0.10652146,0.09730758,0.101983115,0.12057789,0.08310818,0.09344369,0.09300404,0.08602944
169,0.113346115,0.10450534,0.106567115,0.09740434,0.101971604,0.12064667,0.08337702,0.09317477,0.09297576,0.08603135
170,0.11357356,0.104500145,0.10663869,0.097244024,0.102017365,0.120494634,0.08309095,0.093411274,0.09299914,0.08603017
171,0.11353254,0.1045224,0.1065809,0.097112134,0.101928934,0.120875254,0.08296478,0.093556315,0.09289136,0.08603544
172,0.11407463,0.10479834,0.10653738,0.09707335,0.10171794,0.12054504,0.082616456,0.093621954,0.09293739,0.08607758
173,0.113851435,0.10427789,0.10637858,0.09747075,0.10187825,0.12068839,0.08310449,0.093585245,0.09292243,0.085842535
174,0.11387647,0.10417487,0.10624864,0.09739046,0.10241211,0.120165676,0.083427,0.093685545,0.09306862,0.08555058
175,0.11367417,0.10440095,0.10653408,0.09734849,0.10187335,0.120737575,0.08305799,0.09353253,0.092933334,0.08590748
176,0.11371111,0.10433237,0.10656767,0.09701865,0.10155603,0.12109398,0.08275646,0.09364626,0.09300536,0.08631209
177,0.113574766,0.10452561,0.106606156,0.09725174,0.10186066,0.12089264,0.082991086,0.09357644,0.09282608,0.085894845
178,0.11349769,0.104594275,0.10673411,0.097217925,0.10172865,0.12094771,0.083174825,0.09365099,0.09286637,0.08558743
179,0.11363781,0.10441224,0.10655154,0.0973416,0.10179407,0.1207636,0.08303769,0.093473636,0.09296077,0.08602709
