,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
125,0.015702207,0.0043487037,0.0854437,0.036056116,0.04771735,0.9380537,5.458833,0.012976899,5.344626,0.16179948,0.047921296,0.0023806933
126,0.034310654,0.009307263,0.06173648,0.03193551,0.040060323,0.7899309,7.593115,4.0915885,0.106691286,0.26605642,0.034106404,0.004576973
127,0.1154177,1.2722917,0.15385045,0.08384475,0.06937553,1.9042065,5.033182,16.829721,2.8932855,0.30628654,0.1081895,0.08766927
128,0.01606419,0.003901287,0.117012054,0.11613536,0.04081223,0.91052663,1.5074924,5.4804897,1.4587247,0.12073432,0.09153116,0.0028394817
129,0.010294392,0.0064717475,0.07822278,0.026027087,0.040207896,2.9682326,1.5090816,14.050039,0.04077934,1.2441059,0.042186726,0.0017404656
130,0.031062502,0.0039045832,0.068327144,0.07511106,0.078572854,0.43199134,0.104503796,2.492817,4.108966,0.09790068,0.054350495,0.0033288759
131,0.018988894,0.0055038123,0.060422048,0.036136612,0.048700053,1.4173652,7.189507,4.413656,0.13449113,0.2163398,0.043146323,0.0071371426
132,0.012532686,0.0044641336,0.10251076,0.02247723,0.04337674,2.985755,7.7469797,6.3950644,0.052197214,0.22715566,0.036815915,0.0025095749
133,0.018321782,0.009164367,0.12132195,0.03507565,0.03555028,1.1750797,8.27389,1.8367968,0.093330845,0.16254532,0.066320166,0.0042289817
134,0.030492699,0.053079713,0.13569179,0.04806582,0.09153989,0.92166924,8.990318,1.329006,3.1455681,0.17054068,0.08273144,0.016537381
