factor,level,control_level,method_run_id,metric,mixture_seeds,mean_value,seed_sd,minimum_value,maximum_value
depth,keep_0p25,keep_1p00,shapemix_count_only,rmse_v1,2,0.05681380339829615,0.0002193131392440097,0.0566587255903334,0.0569688812062589
depth,keep_0p25,keep_1p00,shapemix_length,jsd_v2,2,0.16662533850503095,0.0017794457724592105,0.1653670803325713,0.1678835966774906
depth,keep_0p25,keep_1p00,shapemix_length,rmse_v1,2,0.0553274072359963,7.384350835441281e-06,0.0553221857114459,0.0553326287605467
depth,keep_0p50,keep_1p00,nnls,jsd_v2,2,0.1578779147676392,0.004093021839248433,0.154983711269562,0.1607721182657164
depth,keep_0p50,keep_1p00,nnls,rmse_v1,2,0.057616127553964946,0.0002761841120297967,0.0574208358954927,0.0578114192124372
depth,keep_0p50,keep_1p00,shapemix_count_only,jsd_v2,2,0.13926290827804733,0.0018412831878931867,0.1379609244498033,0.1405648921062914
depth,keep_0p50,keep_1p00,shapemix_count_only,rmse_v1,2,0.049428508422924206,4.142465233065539e-05,0.0493992167703529,0.0494578000754955
depth,keep_0p50,keep_1p00,shapemix_length,jsd_v2,2,0.142309210792053,0.002376151963907035,0.1406290176252446,0.1439894039588614
depth,keep_0p50,keep_1p00,shapemix_length,rmse_v1,2,0.04942453605252295,7.55961374438416e-05,0.0493710815111049,0.049477990593941
depth,keep_0p75,keep_1p00,nnls,jsd_v2,2,0.14963311686302594,0.0031478018622296804,0.1474072848204117,0.1518589489056402
depth,keep_0p75,keep_1p00,nnls,rmse_v1,2,0.055768882836645606,0.0004056598217060839,0.0554820380258623,0.0560557276474289
depth,keep_0p75,keep_1p00,shapemix_count_only,jsd_v2,2,0.1289852356067095,0.0010078578128416848,0.1282725725127773,0.1296978987006417
depth,keep_0p75,keep_1p00,shapemix_count_only,rmse_v1,2,0.047425399069214294,0.00031912410569594945,0.0471997442500366,0.047651053888392
depth,keep_0p75,keep_1p00,shapemix_length,jsd_v2,2,0.13374301785089066,0.0011624622483886026,0.1329210329121817,0.1345650027895996
depth,keep_0p75,keep_1p00,shapemix_length,rmse_v1,2,0.0476696470220285,0.00022744632464084677,0.047508818183519,0.047830475860538
depth,keep_1p00,keep_1p00,nnls,jsd_v2,2,0.14542230640155365,0.003206997591136924,0.1431546166576118,0.1476899961454955
depth,keep_1p00,keep_1p00,nnls,rmse_v1,2,0.054703285292333204,0.00041422142638387075,0.0544103865128244,0.054996184071842
depth,keep_1p00,keep_1p00,shapemix_count_only,jsd_v2,2,0.12416523189146725,0.0008832434660747298,0.1235406844471671,0.1247897793357674
depth,keep_1p00,keep_1p00,shapemix_count_only,rmse_v1,2,0.0467864131387968,0.00041253697326605306,0.0464947054475102,0.0470781208300834
depth,keep_1p00,keep_1p00,shapemix_length,jsd_v2,2,0.1293023840278407,0.0012055708571116054,0.1284499166995762,0.1301548513561052
depth,keep_1p00,keep_1p00,shapemix_length,rmse_v1,2,0.04690788256701475,0.00025853928788022786,0.0467250676833515,0.047090697450678
features,peaks_1000,peaks_5000,nnls,jsd_v2,2,0.22552956765008458,0.004376625164997182,0.2224348263172034,0.2286243089829658
features,peaks_1000,peaks_5000,nnls,rmse_v1,2,0.0752757264345931,0.0008888867565467166,0.074647188581332,0.0759042642878542
features,peaks_1000,peaks_5000,shapemix_count_only,jsd_v2,2,0.17446416098197146,0.001102722802565994,0.173684418210508,0.1752439037534349
features,peaks_1000,peaks_5000,shapemix_count_only,rmse_v1,2,0.0564828488072859,1.5846965160215001e-06,0.0564817282576333,0.0564839693569385
features,peaks_1000,peaks_5000,shapemix_length,jsd_v2,2,0.1763787389540907,0.000716192870253918,0.1758723141188967,0.1768851637892847
features,peaks_1000,peaks_5000,shapemix_length,rmse_v1,2,0.05671338341971685,6.671907173338378e-05,0.0566662059116597,0.056760560927774
features,peaks_2500,peaks_5000,nnls,jsd_v2,2,0.169648803749923,0.004207121754581875,0.1666739194279807,0.1726236880718653
features,peaks_2500,peaks_5000,nnls,rmse_v1,2,0.0614830318949874,0.0009908552196997834,0.0607823914499636,0.0621836723400112
features,peaks_2500,peaks_5000,shapemix_count_only,jsd_v2,2,0.14160129838095298,0.0017048014715873307,0.1403958216998168,0.1428067750620892
features,peaks_2500,peaks_5000,shapemix_count_only,rmse_v1,2,0.0500080607053034,0.00015697659493328663,0.0498970614905385,0.0501190599200683
