,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
116,0.8388254,0.003915995,0.0064243763,0.010292673,0.0122291185,0.008926643,0.08156865,0.030332219,0.005677957,0.540559,0.0064993077,0.031480826,2.3969283
117,0.0717596,2.4555252,0.011252702,0.0066166087,0.009171647,0.07558964,0.008621919,0.014931164,0.016652921,0.0045537506,1.7746527,0.038554173,1.411538
118,0.068450555,3.8316336,0.017012194,0.0046532545,0.013104064,0.0075608157,0.03188828,0.0074006016,0.0155278295,0.039547235,0.006439679,0.025868831,1.5737287
119,0.16406463,0.7133196,0.009871661,0.030747598,0.040198334,0.21428838,0.062330674,0.041858733,0.081451945,1.733047,0.016361266,0.04679269,1.0394518
120,0.015542951,1.024403,0.10382368,0.007668539,0.0048265224,0.004748496,0.14351122,0.008512299,0.010408186,0.0049680616,0.031017473,0.006720084,1.1440703
121,0.053874444,1.7657194,0.0050936355,0.026855987,0.006412405,0.33535665,0.03039761,0.67546886,1.1960733,0.0023720243,1.5535309,0.03870871,0.30636582
122,0.07335778,0.09008974,1.3127328,0.0058465735,0.0061211665,0.049843285,0.01684335,0.039969243,0.011051404,0.7436634,1.0650151,0.025322799,0.022164805
123,0.92119163,0.44324237,2.1784594,0.020596901,0.009184083,0.016223364,0.019904064,0.0065441155,0.0066451035,0.53972405,0.002428421,0.29140034,0.8735518
124,0.049478825,0.3934094,0.0052652257,0.046142112,0.0051534316,0.0075262124,0.034789793,0.011678303,0.025488831,0.34598416,0.6747603,0.028494714,0.55574024
125,0.07070449,3.3608623,0.0067142053,0.8109344,0.020388668,0.009481025,0.011179949,0.0069951373,0.03128069,4.1299324,0.0051847883,0.008560314,0.008011819
126,1.8421717,2.6464124,0.0059723104,0.008922898,0.3347013,0.005148239,0.079269275,0.006011141,0.011758297,0.002413171,0.0052652005,0.006045231,0.007929784
127,2.5868185,0.31680802,0.005732329,1.1729972,0.010097785,0.015210559,0.00871776,0.016632224,0.022608103,3.020232,1.5374881,0.019312855,0.011829917
128,1.2491515,0.0026096925,1.030381,0.006975713,0.01009058,0.08810995,0.03448785,0.11004768,0.005445078,1.1388087,0.75778246,0.046042617,0.03719222
129,2.1782675,0.004489987,0.013302742,0.006913107,0.016670588,0.0760799,0.013792752,0.014525099,0.010062357,1.3371176,1.4698051,0.057877216,3.1300724
130,4.648918,2.321058,0.010122911,0.0062758224,0.1163487,0.014098911,0.03235738,0.015340485,0.0410981,1.5981967,0.0060193567,0.019212049,0.036403153
131,3.7063022,0.0037799084,0.005746036,0.01112705,0.05045341,0.009002653,0.04332976,0.009233989,0.012805093,0.0025769316,3.2056723,0.021701302,1.0688052
132,0.047797143,3.5713794,0.015049471,0.0029839769,0.013611877,0.03715953,0.011754746,0.0098762885,0.025139498,1.7097319,0.0053060823,0.018667318,1.9515634
133,0.055728048,4.538775,0.0049563176,0.004158443,0.0070201913,0.023634996,0.007834068,0.0050317957,0.029080903,0.24556926,0.0064320574,0.0066417204,0.006373173
134,0.07536025,0.7508585,0.36865506,0.8036919,0.22405306,0.00927447,0.18217598,0.020378094,0.009828505,0.37544546,1.6099871,0.18798934,0.017400313
135,0.087270774,0.014418439,0.046013746,0.12588672,0.011612867,0.010985605,0.010096457,0.015022645,0.013706802,1.2974241,2.4570773,0.0085606845,0.03932082
136,0.03693921,0.005914444,0.004019862,1.2301043,0.0072576385,0.16823366,0.011938464,0.024486886,0.012960644,0.0026639632,0.21355978,0.12004728,2.0831397
